=======================================================
conv-5-5-32-conv-3-3-64-FCN-500-10
Epoch 0, Accuracy 0.875, F1-Macro 0.865, F1-Micro 0.875
Epoch 1, Accuracy 0.875, F1-Macro 0.867, F1-Micro 0.875
Epoch 2, Accuracy 0.906, F1-Macro 0.901, F1-Micro 0.906
Epoch 3, Accuracy 0.914, F1-Macro 0.909, F1-Micro 0.914
Epoch 4, Accuracy 0.926, F1-Macro 0.920, F1-Micro 0.926
Epoch 5, Accuracy 0.926, F1-Macro 0.921, F1-Micro 0.926
Epoch 6, Accuracy 0.934, F1-Macro 0.930, F1-Micro 0.934
Epoch 7, Accuracy 0.934, F1-Macro 0.930, F1-Micro 0.934
Epoch 8, Accuracy 0.945, F1-Macro 0.943, F1-Micro 0.945
Epoch 9, Accuracy 0.938, F1-Macro 0.937, F1-Micro 0.938
Epoch 10, Accuracy 0.941, F1-Macro 0.942, F1-Micro 0.941
Epoch 11, Accuracy 0.957, F1-Macro 0.957, F1-Micro 0.957
Epoch 12, Accuracy 0.949, F1-Macro 0.951, F1-Micro 0.949
Epoch 13, Accuracy 0.945, F1-Macro 0.948, F1-Micro 0.945
Epoch 14, Accuracy 0.945, F1-Macro 0.949, F1-Micro 0.945
Epoch 15, Accuracy 0.957, F1-Macro 0.960, F1-Micro 0.957
Epoch 16, Accuracy 0.961, F1-Macro 0.956, F1-Micro 0.961
Epoch 17, Accuracy 0.965, F1-Macro 0.961, F1-Micro 0.965
Epoch 18, Accuracy 0.969, F1-Macro 0.965, F1-Micro 0.969
Epoch 19, Accuracy 0.984, F1-Macro 0.983, F1-Micro 0.984
Epoch 20, Accuracy 0.984, F1-Macro 0.982, F1-Micro 0.984
Epoch 21, Accuracy 0.988, F1-Macro 0.986, F1-Micro 0.988
Epoch 22, Accuracy 0.992, F1-Macro 0.991, F1-Micro 0.992
Epoch 23, Accuracy 0.984, F1-Macro 0.983, F1-Micro 0.984
Epoch 24, Accuracy 0.988, F1-Macro 0.987, F1-Micro 0.988
Epoch 25, Accuracy 0.988, F1-Macro 0.987, F1-Micro 0.988


=======================================================
conv-5-5-32-conv-5-5-32-conv-3-3-64-FCN-384-192-10
Epoch 0, Accuracy 0.852, F1-Macro 0.830, F1-Micro 0.852
Epoch 1, Accuracy 0.848, F1-Macro 0.843, F1-Micro 0.848
Epoch 2, Accuracy 0.898, F1-Macro 0.896, F1-Micro 0.898
Epoch 3, Accuracy 0.910, F1-Macro 0.907, F1-Micro 0.910
Epoch 4, Accuracy 0.934, F1-Macro 0.926, F1-Micro 0.934
